Date,Product Name,Quantity
2020-09-07,Food Fairy Mini Feta &amp; Coriander Samosas x 6,1
2020-09-11,Food Fairy Mini Feta &amp; Coriander Samosas x 6,4
2020-09-14,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2020-09-16,Food Fairy Mini Feta &amp; Coriander Samosas x 8,3
2020-09-17,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2020-09-24,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2020-09-25,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2020-09-28,Food Fairy Mini Feta &amp; Coriander Samosas x 8,4
2020-10-01,Food Fairy Mini Feta &amp; Coriander Samosas x 8,3
2020-10-05,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2020-10-06,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2020-10-08,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2020-10-09,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2020-10-13,Food Fairy Mini Feta &amp; Coriander Samosas x 8,3
2020-10-15,Food Fairy Mini Feta &amp; Coriander Samosas x 8,3
2020-10-17,Food Fairy Mini Feta &amp; Coriander Samosas x 8,4
2020-10-19,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2020-10-21,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2020-10-22,Food Fairy Mini Feta &amp; Coriander Samosas x 8,3
2020-10-26,Food Fairy Mini Feta &amp; Coriander Samosas x 8,3
2020-10-28,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2020-10-30,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2020-11-04,Food Fairy Mini Feta &amp; Coriander Samosas x 8,7
2020-11-06,Food Fairy Mini Feta &amp; Coriander Samosas x 8,3
2020-11-11,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2020-11-16,Food Fairy Mini Feta &amp; Coriander Samosas x 8,6
2020-11-20,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2020-11-23,Food Fairy Mini Feta &amp; Coriander Samosas x 8,3
2020-11-24,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2020-11-26,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2020-12-01,Food Fairy Mini Feta &amp; Coriander Samosas x 8,4
2020-12-09,Food Fairy Mini Feta &amp; Coriander Samosas x 8,8
2020-12-14,Food Fairy Mini Feta &amp; Coriander Samosas x 8,4
2020-12-20,Food Fairy Mini Feta &amp; Coriander Samosas x 8,8
2020-12-28,Food Fairy Mini Feta &amp; Coriander Samosas x 8,9
2020-12-29,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-01-03,Food Fairy Mini Feta &amp; Coriander Samosas x 8,4
2021-01-06,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2021-01-21,Food Fairy Mini Feta &amp; Coriander Samosas x 8,5
2021-01-28,Food Fairy Mini Feta &amp; Coriander Samosas x 8,4
2021-02-03,Food Fairy Mini Feta &amp; Coriander Samosas x 8,3
2021-02-05,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-02-06,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2021-02-08,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2021-02-09,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-02-10,Food Fairy Mini Feta &amp; Coriander Samosas x 8,3
2021-02-15,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-02-16,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-02-17,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-02-18,Food Fairy Mini Feta &amp; Coriander Samosas x 8,3
2021-02-24,Food Fairy Mini Feta &amp; Coriander Samosas x 8,5
2021-02-25,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2021-02-28,Food Fairy Mini Feta &amp; Coriander Samosas x 8,3
2021-03-06,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-03-09,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2021-03-11,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-03-12,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2021-03-15,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-03-16,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-03-17,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-03-18,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-03-22,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2021-03-23,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-03-26,Food Fairy Mini Feta &amp; Coriander Samosas x 8,3
2021-03-27,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-03-30,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2021-04-06,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2021-04-07,Food Fairy Mini Feta &amp; Coriander Samosas x 8,4
2021-04-08,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-04-12,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-04-13,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-04-14,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-04-16,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-04-19,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-04-21,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-04-30,Food Fairy Mini Feta &amp; Coriander Samosas x 8,4
2021-05-03,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-05-08,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2021-05-13,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-05-17,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-05-20,Food Fairy Mini Feta &amp; Coriander Samosas x 8,4
2021-05-21,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2021-05-28,Food Fairy Mini Feta &amp; Coriander Samosas x 8,2
2021-06-02,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-06-07,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-06-08,Food Fairy Mini Feta &amp; Coriander Samosas x 8,1
2021-06-24,Food Fairy Mini Feta &amp; Coriander Samosas x 8,6
