Date,Product Name,Quantity
2019-07-26,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-07-31,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2019-08-02,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2019-08-05,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2019-08-06,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-08-07,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-08-08,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),9
2019-08-11,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),4
2019-08-15,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2019-08-21,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2019-08-24,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2019-08-25,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2019-08-26,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-08-27,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-08-28,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2019-08-30,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),4
2019-09-02,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),6
2019-09-03,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-09-04,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),4
2019-09-09,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-09-10,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2019-09-11,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),4
2019-09-12,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-09-23,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),4
2019-09-24,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-09-25,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2019-09-26,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-09-27,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),4
2019-09-28,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2019-09-29,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-09-30,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-10-02,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2019-10-04,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-10-06,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),5
2019-10-07,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2019-10-08,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2019-10-10,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2019-10-11,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-10-13,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2019-10-14,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),5
2019-10-16,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-10-17,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-10-19,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2019-10-22,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-10-23,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2019-10-26,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2019-10-29,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2019-10-31,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
