Date,Product Name,Quantity
2019-04-26,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,9
2019-04-29,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2019-04-30,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-05-02,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-05-03,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-05-09,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,5
2019-05-10,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-05-13,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2019-05-15,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2019-05-16,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-05-17,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2019-05-18,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-05-20,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,3
2019-05-21,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2019-05-23,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2019-05-25,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,9
2019-05-26,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2019-06-01,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,5
2019-06-03,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,9
2019-06-08,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2019-06-09,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,3
2019-06-12,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2019-06-14,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,3
2019-06-16,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,3
2019-06-17,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,3
2019-06-18,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,3
2019-06-19,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,3
2019-06-20,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,6
2019-06-24,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,5
2019-06-25,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,5
2019-06-26,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-06-27,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,1
2019-06-29,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,3
2019-07-01,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,3
2019-07-02,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,2
2019-07-05,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,3
2019-07-08,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,6
2019-07-10,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,3
2019-07-11,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,4
2019-07-14,Kombucha Raspberry Ginger &amp; Sweet Oolong Tea - 300ml,4
