Date,Product Name,Quantity
2019-11-24,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,1
2019-12-09,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,1
2019-12-11,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,1
2019-12-14,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,1
2019-12-18,Maize Tortilla Chips - Sukuma &amp; Moringa - 40g,1
2020-01-06,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,2
2020-01-17,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2020-01-23,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2020-01-27,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2020-02-03,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2020-02-06,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,4
2020-02-07,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2020-02-26,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2020-03-05,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2020-03-11,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2020-03-14,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,2
2020-03-19,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2020-03-23,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,5
2020-03-25,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2020-03-26,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,4
2020-03-27,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,6
2020-03-30,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2020-04-01,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2020-04-03,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,7
2020-04-09,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2020-04-25,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,10
2020-04-26,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,2
2020-04-27,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2020-04-30,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2020-05-02,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2020-05-04,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2020-05-05,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,2
2020-05-11,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,4
2020-05-12,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,5
2020-05-16,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,4
2020-05-18,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,6
2020-05-22,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2020-05-23,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,6
2020-05-25,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2020-06-16,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,3
2020-06-20,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2020-06-22,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,2
2020-06-30,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,2
2020-07-02,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2020-07-04,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2020-07-08,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2020-07-09,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,2
2020-07-14,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,6
2020-07-17,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,8
2020-07-21,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,6
2020-07-23,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2020-08-01,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,2
2020-08-04,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2020-08-10,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2020-08-12,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,5
2020-08-13,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,4
2020-08-19,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2020-08-20,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,19
2020-08-25,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,1
2020-09-03,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,3
2020-09-07,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,6
2020-09-11,Maize Tortilla Chips - Sukuma &amp; Moringa 40g,2
