Date,Product Name,Quantity
2020-05-12,Grounded Windows &amp; Mirrors - 500ml,2
2020-05-16,Grounded Windows &amp; Mirrors - 500ml,2
2020-05-19,Grounded Windows &amp; Mirrors - 500ml,1
2020-05-28,Grounded Windows &amp; Mirrors - 500ml,1
2020-06-02,Grounded Windows &amp; Mirrors - 500ml,1
2020-06-03,Grounded Windows &amp; Mirrors - 500ml,1
2020-06-10,Grounded Windows &amp; Mirrors - 500ml,1
2020-06-11,Grounded Windows &amp; Mirrors - 500ml,1
2020-06-16,Grounded Windows &amp; Mirrors - 500ml,2
2020-06-19,Grounded Windows &amp; Mirrors - 500ml,1
2020-06-25,Grounded Windows &amp; Mirrors - 500ml,1
2020-07-01,Grounded Windows &amp; Mirrors - 500ml,1
2020-07-02,Grounded Windows &amp; Mirrors - 500ml,1
2020-07-09,Grounded Windows &amp; Mirrors - 500ml,1
2020-07-13,Grounded Windows &amp; Mirrors - 500ml,1
2020-07-17,Grounded Windows &amp; Mirrors - 500ml,1
2020-07-21,Grounded Windows &amp; Mirrors - 500ml,2
2020-07-27,Grounded Windows &amp; Mirrors - 500ml,1
2020-08-03,Grounded Windows &amp; Mirrors - 500ml,1
2020-08-05,Grounded Windows &amp; Mirrors - 500ml,1
2020-08-11,Grounded Windows &amp; Mirrors - 500ml,3
2020-08-13,Grounded Windows &amp; Mirrors - 500ml,3
2020-08-15,Grounded Windows &amp; Mirrors - 500ml,2
2020-08-17,Grounded Windows &amp; Mirrors - 500ml,1
2020-08-18,Grounded Windows &amp; Mirrors - 500ml,1
2020-08-24,Grounded Windows &amp; Mirrors - 500ml,1
2020-08-27,Grounded Windows &amp; Mirrors - 500ml,2
2020-08-28,Grounded Windows &amp; Mirrors - 500ml,1
2020-08-31,Grounded Windows &amp; Mirrors - 500ml,1
2020-09-01,Grounded Windows &amp; Mirrors - 500ml,2
2020-09-07,Grounded Windows &amp; Mirrors - 500ml,1
2020-09-21,Grounded Windows &amp; Mirrors - 500ml,1
2020-09-26,Grounded Windows &amp; Mirrors - 500ml,1
2020-10-01,Grounded Windows &amp; Mirrors - 500ml,1
2020-10-07,Grounded Windows &amp; Mirrors - 500ml,1
2020-10-15,Grounded Windows &amp; Mirrors - 500ml,2
2020-10-16,Grounded Windows &amp; Mirrors - 500ml,1
2020-10-27,Grounded Windows &amp; Mirrors - 500ml,1
2020-10-28,Grounded Windows &amp; Mirrors - 500ml,2
2020-10-31,Grounded Windows &amp; Mirrors - 500ml,1
2020-11-11,Grounded Windows &amp; Mirrors - 500ml,1
2020-11-16,Grounded Windows &amp; Mirrors - 500ml,1
2020-11-20,Grounded Windows &amp; Mirrors - 500ml,3
2020-11-24,Grounded Windows &amp; Mirrors - 500ml,2
2020-11-26,Grounded Windows &amp; Mirrors - 500ml,3
2020-11-27,Grounded Windows &amp; Mirrors - 500ml,1
2020-12-01,Grounded Windows &amp; Mirrors - 500ml,3
2020-12-09,Grounded Windows &amp; Mirrors - 500ml,2
2020-12-20,Grounded Windows &amp; Mirrors - 500ml,2
2020-12-21,Grounded Windows &amp; Mirrors - 500ml,1
