Date,Product Name,Quantity
2020-05-23,Healthy Kajuju Coconut &amp; Seed Muesli,4
2020-05-26,Healthy Kajuju Coconut &amp; Seed Muesli,1
2020-05-31,Healthy Kajuju Coconut &amp; Seed Muesli,1
2020-06-04,Healthy Kajuju Coconut &amp; Seed Muesli,1
2020-06-08,Healthy Kajuju Coconut &amp; Seed Muesli,1
2020-06-09,Healthy Kajuju Coconut &amp; Seed Muesli,1
2020-06-10,Healthy Kajuju Coconut &amp; Seed Muesli,5
2020-06-18,Healthy Kajuju Coconut &amp; Seed Muesli,1
2020-06-22,Healthy Kajuju Coconut &amp; Seed Muesli,3
2020-06-25,Healthy Kajuju Coconut &amp; Seed Muesli,1
2020-06-26,Healthy Kajuju Coconut &amp; Seed Muesli,1
2020-07-03,Healthy Kajuju Coconut &amp; Seed Muesli,8
2020-07-07,Healthy Kajuju Coconut &amp; Seed Muesli,1
2020-07-21,Healthy Kajuju Coconut &amp; Seed Muesli,1
2020-07-24,Healthy Kajuju Coconut &amp; Seed Muesli,2
2020-08-01,Healthy Kajuju Coconut &amp; Seed Muesli,1
2020-08-06,Healthy Kajuju Coconut &amp; Seed Muesli,1
2020-08-07,Healthy Kajuju Coconut &amp; Seed Muesli,1
2020-08-13,Healthy Kajuju Coconut &amp; Seed Muesli,1
2020-08-14,Healthy Kajuju Coconut &amp; Seed Muesli,1
2020-08-17,Healthy Kajuju Coconut &amp; Seed Muesli,2
2020-08-27,Healthy Kajuju Coconut &amp; Seed Muesli,1
2020-09-11,Healthy Kajuju Coconut &amp; Seed Muesli,2
2020-09-15,Healthy Kajuju Coconut &amp; Seed Muesli,1
2020-09-17,Healthy Kajuju Coconut &amp; Seed Muesli,1
2020-09-18,Healthy Kajuju Coconut &amp; Seed Muesli,1
2020-09-24,Healthy Kajuju Coconut &amp; Seed Muesli,1
2020-09-25,Healthy Kajuju Coconut &amp; Seed Muesli,1
2020-10-01,Healthy Kajuju Coconut &amp; Seed Muesli,2
2020-10-07,Healthy Kajuju Coconut &amp; Seed Muesli,1
2020-10-08,Healthy Kajuju Coconut &amp; Seed Muesli,1
2020-10-15,Healthy Kajuju Coconut &amp; Seed Muesli,1
2020-10-16,Healthy Kajuju Coconut &amp; Seed Muesli,1
2020-10-22,Healthy Kajuju Coconut &amp; Seed Muesli,1
2020-10-26,Healthy Kajuju Coconut &amp; Seed Muesli,1
2020-10-30,Healthy Kajuju Coconut &amp; Seed Muesli,2
2020-11-04,Healthy Kajuju Coconut &amp; Seed Muesli,1
2020-11-05,Healthy Kajuju Coconut &amp; Seed Muesli,2
2020-11-16,Healthy Kajuju Coconut &amp; Seed Muesli,1
2020-11-20,Healthy Kajuju Coconut &amp; Seed Muesli,3
2020-11-23,Healthy Kajuju Coconut &amp; Seed Muesli,1
2020-12-01,Healthy Kajuju Coconut &amp; Seed Muesli,1
2020-12-09,Healthy Kajuju Coconut &amp; Seed Muesli,1
2020-12-14,Healthy Kajuju Coconut &amp; Seed Muesli,2
2020-12-28,Healthy Kajuju Coconut &amp; Seed Muesli,2
2021-01-03,Healthy Kajuju Coconut &amp; Seed Muesli,1
2021-01-14,Healthy Kajuju Coconut &amp; Seed Muesli,1
2021-01-21,Healthy Kajuju Coconut &amp; Seed Muesli,4
2021-02-03,Healthy Kajuju Coconut &amp; Seed Muesli,2
2021-02-05,Healthy Kajuju Coconut &amp; Seed Muesli,1
