Date,Product Name,Quantity
2020-03-25,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2020-03-30,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,2
2020-03-31,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2020-04-06,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,2
2020-04-09,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,2
2020-04-14,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,6
2020-04-27,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2020-04-28,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2020-04-30,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2020-05-07,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,2
2020-05-08,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,3
2020-05-13,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,2
2020-05-14,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2020-05-15,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2020-05-16,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2020-05-26,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2020-05-27,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2020-06-02,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2020-06-04,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2020-06-09,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2020-06-10,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2020-06-11,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,2
2020-06-14,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,3
2020-06-24,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2020-07-02,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2020-07-06,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2020-07-17,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2020-07-21,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2020-07-22,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2020-07-29,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,2
2020-07-30,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2020-08-06,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2020-08-07,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2020-08-17,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2020-08-20,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2020-08-27,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2020-09-11,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,2
2020-09-14,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,2
2020-09-16,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2020-09-21,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2020-09-23,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,2
2020-09-24,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2020-10-02,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2020-10-05,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,2
2020-10-08,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,2
2020-10-31,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2020-11-04,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2020-11-06,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2020-11-20,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2020-11-23,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2020-11-24,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2020-11-26,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,4
2020-12-09,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-02-03,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-02-05,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-02-06,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-02-08,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,2
2021-02-12,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-02-18,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,2
2021-02-26,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-03-04,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-03-05,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,3
2021-03-11,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-03-12,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-03-16,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-03-23,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-04-12,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-04-13,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-04-20,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-04-22,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-05-03,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,2
2021-05-08,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-05-24,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,2
2021-05-25,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-05-28,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
2021-06-03,Kampi Kitchen Strawberry &amp; Raspberry Jam 500g,1
